dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all
nytimes-16-angular,adsampling,9.84799,14.7749,4.93697,0.990531,512,2.1,10,10000,0,1,9.889,22.55,3.82
nytimes-16-angular,adsampling,5.38594,7.29601,3.45029,0.990531,256,2.1,10,10000,0,1,5.312,10.12,1.899
nytimes-16-angular,adsampling,4.84028,6.48658,3.17518,0.990521,224,2.1,10,10000,0,1,4.774,8.096,1.667
nytimes-16-angular,adsampling,4.42212,6.09814,2.75127,0.99051,192,2.1,10,10000,0,1,4.436,11.23,1.435
nytimes-16-angular,adsampling,3.70788,4.9787,2.43724,0.990391,160,2.1,10,10000,0,1,3.726,10.65,1.188
nytimes-16-angular,adsampling,3.4319,4.48749,2.36683,0.990221,144,2.1,10,10000,0,1,3.414,6.124,1.1
nytimes-16-angular,adsampling,3.13252,4.12367,2.12396,0.990041,128,2.1,10,10000,0,1,3.113,8.114,0.9823
nytimes-16-angular,adsampling,2.7716,3.61198,1.92265,0.989491,112,2.1,10,10000,0,1,2.754,4.758,0.8505
nytimes-16-angular,adsampling,2.32746,2.89548,1.74589,0.988261,96,2.1,10,10000,0,1,2.291,3.258,0.7169
nytimes-16-angular,adsampling,2.01338,2.50363,1.50975,0.985831,80,2.1,10,10000,0,1,1.991,3.388,0.5946
nytimes-16-angular,adsampling,1.62455,1.98016,1.26154,0.9809,64,2.1,10,10000,0,1,1.604,2.539,0.4859
nytimes-16-angular,adsampling,1.4715,1.80042,1.13255,0.975749,56,2.1,10,10000,0,1,1.454,2.265,0.4178
nytimes-16-angular,adsampling,1.22889,1.46767,0.986083,0.968068,48,2.1,10,10000,0,1,1.216,2.141,0.3527
nytimes-16-angular,adsampling,1.07109,1.28489,0.852297,0.955734,40,2.1,10,10000,0,1,1.059,1.534,0.3086
nytimes-16-angular,adsampling,0.862715,1.03289,0.689297,0.93565,32,2.1,10,10000,0,1,0.854,1.288,0.2364
nytimes-16-angular,adsampling,0.748292,0.891058,0.606752,0.920339,28,2.1,10,10000,0,1,0.7468,1.235,0.2089
nytimes-16-angular,adsampling,0.686347,0.805127,0.565682,0.911817,26,2.1,10,10000,0,1,0.6789,0.9813,0.1919
nytimes-16-angular,adsampling,0.624742,0.727916,0.520918,0.901195,24,2.1,10,10000,0,1,0.6199,1.049,0.1757
nytimes-16-angular,adsampling,0.574762,0.670852,0.478198,0.888733,22,2.1,10,10000,0,1,0.5697,0.8405,0.1645
nytimes-16-angular,adsampling,0.526265,0.614826,0.436679,0.874621,20,2.1,10,10000,0,1,0.5212,0.8984,0.1485
nytimes-16-angular,adsampling,0.52188,0.633342,0.410464,0.857239,18,2.1,10,10000,0,1,0.521,0.9831,0.1435
nytimes-16-angular,adsampling,0.477038,0.611795,0.339039,0.837317,16,2.1,10,10000,0,1,0.4741,0.7342,0.1298
nytimes-16-angular,adsampling,0.375869,0.439606,0.311161,0.81289,14,2.1,10,10000,0,1,0.3718,0.494,0.1056
nytimes-16-angular,adsampling,0.358279,0.453591,0.266307,0.783446,12,2.1,10,10000,0,1,0.3622,0.609,0.09977
nytimes-16-angular,adsampling,0.283543,0.347574,0.220014,0.745239,10,2.1,10,10000,0,1,0.2842,0.5004,0.07949
nytimes-16-angular,adsampling,0.220501,0.26501,0.175799,0.696594,8,2.1,10,10000,0,1,0.219,0.3298,0.06582
nytimes-16-angular,adsampling,0.163129,0.197549,0.128117,0.634096,6,2.1,10,10000,0,1,0.1618,0.233,0.04989
nytimes-16-angular,adsampling,0.109639,0.135679,0.083203,0.544446,4,2.1,10,10000,0,1,0.1089,0.3052,0.03427
nytimes-16-angular,adsampling,0.0560922,0.072913,0.039174,0.402501,2,2.1,10,10000,0,1,0.05588,0.08347,0.018
glove-50-angular,adsampling,31.0882,61.3543,9.04467,0.99918,512,2.1,10,10000,0,1,31.11,86.56,9.045
glove-50-angular,adsampling,17.8439,33.8925,4.63312,0.994469,256,2.1,10,10000,0,1,17.85,35.72,4.633
glove-50-angular,adsampling,15.8295,30.4281,4.03481,0.992769,224,2.1,10,10000,0,1,15.83,32.35,4.035
glove-50-angular,adsampling,14.2206,26.9141,3.44867,0.990419,192,2.1,10,10000,0,1,14.22,28.89,3.449
glove-50-angular,adsampling,12.0275,22.5361,2.72919,0.986549,160,2.1,10,10000,0,1,12.03,23.74,2.729
glove-50-angular,adsampling,10.9778,20.1101,2.45844,0.983838,144,2.1,10,10000,0,1,10.99,22.1,2.458
glove-50-angular,adsampling,10.1338,18.8221,2.18603,0.980698,128,2.1,10,10000,0,1,10.14,20.48,2.186
glove-50-angular,adsampling,8.93413,16.4388,1.82249,0.976507,112,2.1,10,10000,0,1,8.953,21.21,1.822
glove-50-angular,adsampling,7.76071,14.1559,1.5591,0.970757,96,2.1,10,10000,0,1,7.765,16.23,1.559
glove-50-angular,adsampling,6.57863,11.9936,1.2537,0.963266,80,2.1,10,10000,0,1,6.586,14.9,1.254
glove-50-angular,adsampling,5.34053,9.65017,1.12215,0.952186,64,2.1,10,10000,0,1,5.349,16.13,1.091
glove-50-angular,adsampling,4.69354,8.4378,0.989809,0.944856,56,2.1,10,10000,0,1,4.699,8.932,0.9278
glove-50-angular,adsampling,4.14062,7.41641,0.926201,0.935515,48,2.1,10,10000,0,1,4.145,8.262,0.8477
glove-50-angular,adsampling,3.52301,6.27696,0.799457,0.922805,40,2.1,10,10000,0,1,3.529,7.27,0.688
glove-50-angular,adsampling,2.87803,5.11209,0.673015,0.905775,32,2.1,10,10000,0,1,2.884,5.963,0.5444
glove-50-angular,adsampling,2.53729,4.49726,0.579908,0.894673,28,2.1,10,10000,0,1,2.543,5.587,0.4968
glove-50-angular,adsampling,2.38568,4.23385,0.545489,0.887793,26,2.1,10,10000,0,1,2.391,5.109,0.4663
glove-50-angular,adsampling,2.20682,3.96169,0.46803,0.879821,24,2.1,10,10000,0,1,2.214,4.772,0.4233
glove-50-angular,adsampling,2.0432,3.68168,0.423797,0.871011,22,2.1,10,10000,0,1,2.053,4.565,0.4025
glove-50-angular,adsampling,1.84458,3.31631,0.38486,0.86036,20,2.1,10,10000,0,1,1.851,3.998,0.3639
glove-50-angular,adsampling,1.66881,3.00031,0.353247,0.848839,18,2.1,10,10000,0,1,1.677,3.649,0.3463
glove-50-angular,adsampling,1.54135,2.82886,0.314434,0.835358,16,2.1,10,10000,0,1,1.563,4.363,0.3144
glove-50-angular,adsampling,1.35325,2.45139,0.283928,0.819517,14,2.1,10,10000,0,1,1.362,3.37,0.2839
glove-50-angular,adsampling,1.19337,2.17363,0.230588,0.799488,12,2.1,10,10000,0,1,1.202,2.644,0.2306
glove-50-angular,adsampling,1.00033,1.84491,0.196772,0.774549,10,2.1,10,10000,0,1,1.008,2.224,0.1968
glove-50-angular,adsampling,0.832873,1.54092,0.150506,0.741322,8,2.1,10,10000,0,1,0.8398,1.791,0.1505
glove-50-angular,adsampling,0.64746,1.21644,0.10837,0.696274,6,2.1,10,10000,0,1,0.6547,1.658,0.1084
glove-50-angular,adsampling,0.442601,0.852297,0.054924,0.626568,4,2.1,10,10000,0,1,0.4482,1.274,0.05492
glove-50-angular,adsampling,0.248312,0.506587,0.034413,0.495162,2,2.1,10,10000,0,1,0.254,0.7565,0.03441
deep-image-96-angular,adsampling,18.3359,34.6237,7.37436,0.99871,512,2.1,10,10000,0,1,18.64,52.35,7.374
